tcid,theta,phi
533,2.561646389464055,2.277907330722326
534,2.356650556215934,2.2745816107625334
535,2.3510831141520954,2.0833018271332575
536,2.5615795365240266,2.0831031317198936
537,2.5606305071515605,2.6630479646075274
538,2.3566032717553287,2.670771501936398
539,2.350973939633824,2.4700648065119313
540,2.5616825458975416,2.4741906271510814
541,2.5615179819683744,3.0316413971199743
542,2.3546916382297476,3.0510328634848416
543,2.3518297049279018,2.8507458629596987
544,2.5597290363009852,2.8468356389166605
545,2.5617813625922317,-2.8255894899169904
546,2.355443867377095,-2.8330019562144484
547,2.35349283256797,-3.0208326658741584
548,2.562171955474465,-3.0222171650191356
549,2.561646389464055,-2.434481649662364
550,2.356650556215934,-2.4378073696221563
551,2.3510831141520954,-2.6290871532514326
552,2.5615795365240266,-2.629285848664796
553,2.5606305071515605,-2.0493410157771623
554,2.3566032717553287,-2.041617478448292
555,2.350973939633824,-2.242324173872759
556,2.5616825458975416,-2.2381983532336087
557,2.5615179819683744,-1.6807475832647156
558,2.3546916382297476,-1.6613561168998483
559,2.3518297049279018,-1.8616431174249912
560,2.5597290363009852,-1.8655533414680292
561,2.5617813625922317,-1.2547931631220939
562,2.355443867377095,-1.2622056294195516
563,2.35349283256797,-1.4500363390792619
564,2.562171955474465,-1.451420838224239
565,2.561646389464055,-0.8636853228674674
566,2.356650556215934,-0.8670110428272597
567,2.3510831141520954,-1.0582908264565358
568,2.5615795365240266,-1.0584895218698995
569,2.5606305071515605,-0.4785446889822658
570,2.3566032717553287,-0.47082115165339533
571,2.350973939633824,-0.6715278470778621
572,2.5616825458975416,-0.6674020264387119
573,2.5615179819683744,-0.10995125646981901
574,2.3546916382297476,-0.09055979010495172
575,2.3518297049279018,-0.29084679063009455
576,2.5597290363009852,-0.29475701467313264
